"observing","describing","accepting","acting","age","bsex"
3.5,3.9,2.4,3.6,25,"female"
2.7,3.5,2.6,3.8,21,"female"
3.6,3.4,5,3.5,36,"female"
3.5,2.6,2.6,3.4,20,"female"
4,3.5,3.1,2.5,32,"female"
3,3.1,2.9,3,53,"male"
4.1,3.4,2.4,2.1,32,"male"
3.3,3.3,4.1,3.8,48,"male"
3.5,3.5,3.2,2.8,25,"female"
3.3,3,2.1,3.2,46,"female"
4.1,3.8,4.1,4.1,48,"female"
3.8,3,3.4,4.5,58,"female"
2.1,3.5,1.9,2.9,29,"male"
4.5,2.9,2.6,3.2,20,"male"
3.5,3.4,1.9,3.3,21,"male"
4.7,3.5,3.1,3.2,46,"female"
2.1,3,3.4,3.1,35,"male"
4.1,3.3,3.4,3.3,35,"male"
4,3,3,2.7,26,"female"
4.3,3.5,2.9,3.2,36,"female"
2.1,3.1,2.9,3.2,30,"male"
3.6,3.3,3.4,3.5,23,"female"
3,3.5,2,2.6,31,"female"
3.6,2.5,4.8,3.4,17,"female"
2.7,3.4,4.6,3.4,24,"male"
3.5,2.9,3.7,2.8,33,"male"
3.5,3.1,3.3,2.6,32,"male"
4.2,3.4,4.4,2.7,19,"male"
3.8,3.4,1.9,2.9,43,"female"
2.3,2.9,3.3,3.2,48,"male"
4.8,3,1.4,2,41,"female"
3.9,3.1,1.2,2.6,53,"male"
3.5,3.1,2.3,3.1,33,"male"
2.4,3,1.9,1.8,51,"female"
3.2,3.3,4.3,3.1,26,"female"
4.5,3,2.2,3.2,42,"female"
3.9,3,1.3,3.3,44,"female"
3.2,3.4,1.4,3,51,"male"
3.7,3.3,1.9,2.5,59,"male"
3.2,3.5,1.4,2.9,42,"female"
2.8,2.8,1.9,3.4,40,"male"
3.5,2.9,2.7,3.3,34,"female"
3.6,2.8,2.2,3,54,"male"
4.3,3.3,2.3,3.6,54,"male"
2.7,2.8,2.2,3.4,49,"male"
2.6,2.4,2.1,3.7,53,"male"
2.8,3.5,2,3.4,51,"female"
4.2,3,2.4,3.2,55,"male"
3.7,3,4.9,4,17,"female"
4.1,3.1,4,3.4,23,"male"
3.8,3.3,2.8,3.5,66,"male"
3.4,3,3.1,3.1,58,"female"
4.1,3.1,1.2,2.7,60,"female"
3.3,3.3,3.1,3,25,"male"
2.8,3.1,3.2,2.9,61,"male"
4.9,3.5,2.8,3.1,23,"male"
3.8,3.3,4.3,3.7,19,"male"
2.8,3,3.1,3.7,55,"female"
3.5,3.4,2,3.6,50,"female"
3.3,2,3.4,3.3,24,"male"
3.6,3,2.1,2.7,47,"male"
2.6,2.8,1.7,3.4,17,"male"
4.2,3.6,3,2.8,24,"female"
3.9,3,2.7,3.3,27,"female"
2.3,2.4,3.2,2.1,44,"male"
2.7,2.9,3.4,3.8,43,"male"
3.6,3,2.3,2.6,57,"male"
2.9,3.3,3.1,3.2,63,"male"
3.3,3.4,3.3,3.5,57,"female"
3.8,3.4,2.9,3.4,51,"male"
4.3,3.6,1.6,2.8,37,"female"
3.9,2.9,1.4,2.8,58,"female"
3.3,2.6,2.2,3.5,42,"male"
2.8,3,3.6,2.9,20,"female"
3.7,3,4.6,3.5,64,"male"
3.3,3.1,2.4,3.4,66,"male"
3.1,3.1,3.6,3.7,69,"female"
4.2,3.1,3,2.9,37,"male"
3.9,3.6,3.4,3.7,48,"female"
4,3.4,3.7,3.9,43,"female"
4,2.8,4,3.2,32,"female"
3.6,3,2.4,2.7,61,"male"
3.7,3.4,1.9,2.8,61,"male"
3.8,3.8,2.6,3.5,49,"female"
3.9,3.3,1.8,3.1,66,"female"
2.6,3,2.6,3.1,28,"male"
3,3,2.7,3.1,53,"female"
3.5,3.1,3.8,3.2,42,"male"
3.5,2.9,2.9,3.3,60,"female"
3.9,3.3,4.4,3.4,35,"female"
3.5,3.3,3.2,3,21,"male"
4.5,2.4,4.3,2.9,50,"male"
3.2,3.9,3,2.2,21,"male"
3.3,2.8,2.8,3,34,"male"
2.5,3.4,4.2,3,53,"male"
2.5,3.3,3.3,3.9,35,"female"
2.4,2.8,1.6,3.2,62,"female"
4.7,3.5,1.9,3,28,"female"
3.4,3.1,3,2.9,50,"female"
3.5,2.6,1.7,2.9,59,"male"
4.1,2.9,3.2,3.4,29,"male"
4.2,3.3,3,3.3,18,"male"
2.9,3,3.2,3.1,24,"female"
3,3.1,3.8,4.5,20,"female"
3,2.8,3.4,3.3,28,"female"
3.5,3,2.1,3.1,59,"male"
4.2,2.8,1.6,2.7,23,"male"
4.1,3.5,2.9,3.2,25,"male"
3.5,2.9,2,2.6,57,"male"
3.5,3,4.1,3.6,36,"female"
4.3,3.5,1.9,3.4,18,"male"
2.5,3.3,5,3.8,36,"female"
4.4,3,1.9,2.8,28,"female"
3.8,3.6,2.9,3.6,32,"male"
4.1,2.6,4.3,2.7,31,"female"
3.6,3.5,1.8,2.9,73,"male"
3.2,3.1,1.6,3.5,59,"female"
3.2,3,2.2,3.9,23,"male"
3.9,3.1,2.4,3.8,51,"female"
4.3,3.9,2.9,3.9,42,"female"
3.7,3.3,3,3,19,"male"
3.6,3.4,2.4,3.2,47,"male"
3.8,3.3,2.4,2.9,19,"female"
2.8,3.1,3.8,3.4,40,"female"
4.7,2.4,2.8,3.3,55,"male"
4.2,3.3,2,2.9,24,"male"
4.2,3.4,2.1,3,37,"male"
3.1,3,3.9,3.3,29,"female"
3.7,3.8,4.4,4.1,39,"female"
3.5,3.5,3.7,3.4,30,"male"
3.5,3.4,4,2.6,35,"female"
3.5,3.4,2.3,2.4,41,"male"
3.9,3,2.6,3.1,20,"male"
3.3,3.1,1.4,2.9,39,"male"
